code,system
14OX.00,readv2
66Yf.00,readv2
H312200,readv2
663K.00,readv2
H3?11,readv2
H3A..00,readv2
H3z..00,readv2
66YB.00,readv2
66YB200,readv2
66YD.00,readv2
66YS.00,readv2
66YT.00,readv2
9Oi..00,readv2
66YB000,readv2
66YB100,readv2
66YL.00,readv2
66YL.11,readv2
66YM.00,readv2
66Yd.00,readv2
66Ye.00,readv2
66Yi.00,readv2
66Yh.00,readv2
6Yg.00,readv2
8CMW500,readv2
9NgP.00,readv2
9NgP.11,readv2
9Oi0.00,readv2
9Oi1.00,readv2
9Oi2.00,readv2
9Oi3.00,readv2
9Oi4.00,readv2
H31..00,readv2
H310.00,readv2
H310000,readv2
H310z00,readv2
H311.00,readv2
H311000,readv2
H311100,readv2
H311z00,readv2
H312.00,readv2
H312000,readv2
H312011,readv2
H312100,readv2
H312300,readv2
H312z00,readv2
H313.00,readv2
H31y.00,readv2
H31yz00,readv2
H31z.00,readv2
H583200,readv2
H31y100,readv2
H32..00,readv2
H321.00,readv2
H322.00,readv2
H32y100,readv2
H32y200,readv2
H32z.00,readv2
1113,ukbiobank
1472,ukbiobank
H320.00,readv2
H320000,readv2
H320100,readv2
H320200,readv2
H320300,readv2
H320z00,readv2
H32y.00,readv2
H32yz00,readv2
Hyu3000,readv2
H32y000,readv2
H32y111,readv2
H32yz11,readv2
H38..00,readv2
H39..00,readv2
H3y..00,readv2
H3y..11,readv2
Hyu3100,readv2
H3y0.00,readv2
H3y1.00,readv2
H464000,readv2
H464100,readv2
10692761000119107,snomedct
135836000,snomedct
13645005,snomedct
16003001,snomedct
170628003,snomedct
1823851000006103,snomedct
185086009,snomedct
195949008,snomedct
195951007,snomedct
195953005,snomedct
195957006,snomedct
195958001,snomedct
195959009,snomedct
195963002,snomedct
196001008,snomedct
196026004,snomedct
196027008,snomedct
198401000000104,snomedct
198411000000102,snomedct
198901000000105,snomedct
266355005,snomedct
266356006,snomedct
270473001,snomedct
293991000000106,snomedct
313296004,snomedct
313297008,snomedct
313299006,snomedct
383611000000102,snomedct
390891009,snomedct
390941006,snomedct
394702007,snomedct
394703002,snomedct
40100001,snomedct
401184000,snomedct
401185004,snomedct
413845009,snomedct
414087000,snomedct
45145000,snomedct
4981000,snomedct
52571006,snomedct
61937009,snomedct
63480004,snomedct
68328006,snomedct
713731000000102,snomedct
716241000000106,snomedct
716281000000103,snomedct
716358000,snomedct
716901000000101,snomedct
717021000000106,snomedct
717521000000104,snomedct
723245007,snomedct
736283006,snomedct
741056003,snomedct
74417001,snomedct
760601000000107,snomedct
760621000000103,snomedct
77690003,snomedct
826111000000109,snomedct
84409004,snomedct
848431000000106,snomedct
857661000000104,snomedct
866901000000103,snomedct
87433001,snomedct
8743301,snomedct
89549007,snomedct
J43,icd10
J43,icd10
